,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.16666666666666666,1.3433777431171905,67.0,37.0,2.2367391077991883,1.4077583242387723
1,01_01_a0101135010000300031z,0.3333333333333333,0.5030558831393771,56.0,28.0,2.0016465507778487,0.8778915729414567
2,01_01_a0101135010000300042z,0.3333333333333333,0.3093084915719988,48.0,32.0,2.0003910404799305,0.7532182565088067
3,01_01_a0101135010001100026z,0.5,0.2517126825505486,45.0,27.0,1.7331401177472532,0.652431194945469
4,01_01_a0101135010001100037z,0.5,0.24811516772224015,45.0,27.0,1.7331395244675272,0.6485764054049699
5,01_01_A0101135010001900032z,0.5,0.3229274051029049,43.0,29.0,1.732619825099201,0.7029562308210656
6,01_01_A0101135010001900041z,0.5,0.22696384926148586,42.0,26.0,1.7327072266918317,0.5679417456601289
7,01_01_a0101135010002200032A,0.3333333333333333,0.5552304303797139,53.0,31.0,2.0007892229969357,0.8753525705474018
8,01_01_a0101135010002200032B,0.3333333333333333,0.112714539027307,50.0,31.0,2.0003534964493794,0.7830246921928463
9,01_01_a0101135010002200032D,0.3333333333333333,0.2633642828150369,47.0,33.0,2.002199415939335,0.8006950698380283
10,01_01_A0101135010002600058a,0.5,0.34824649959063597,58.0,38.0,1.4158237492381067,0.8126731659152122
11,01_01_A0101135010002600058b,0.5,0.28050431190359537,48.0,32.0,1.4145866385623649,0.8722570932012581
12,01_01_A0101135010002600058c,0.5,0.28050431190359537,48.0,32.0,1.4145879280882925,0.8775946526079509
13,01_01_A0101135010002600066z,0.5,0.5344570731794425,44.0,37.0,1.4159892253562556,0.8928588588202057
14,01_01_a0101135010002600076z,0.3333333333333333,0.5682187904075475,55.0,38.0,1.4154530696560894,1.002677900645282
15,01_01_a0101135010002600077z,0.16666666666666666,0.4374594733318769,63.0,38.0,2.0002287948652784,0.9334457289509176
16,01_01_a0101135010003000030z,0.3333333333333333,0.4778744820560236,61.0,36.0,2.000980042270374,0.8788872581301216
17,01_01_a0101135010003000032z,0.3333333333333333,0.3919380555115981,62.0,34.0,2.000262939750295,0.7607611016531974
18,01_01_A0101135010003800014z,0.16666666666666666,0.8576761462529916,85.0,48.0,2.2363726129499257,1.315177004539105
19,01_01_a0101135010004900033A,0.3333333333333333,0.251893817951239,59.0,33.0,2.002025651128804,0.8325007162802464
20,01_01_a0101135010004900038z,0.3333333333333333,0.28731205157771433,47.0,32.0,2.001636864181121,0.7900106130957262
21,01_01_a0101135010004900043z,0.3333333333333333,0.1987042619791871,47.0,29.0,2.0026970307772345,0.7828038192564909
22,01_01_a0101135010005200042z,0.6666666666666666,0.4559722527271396,35.0,24.0,1.4215757301908771,0.8793612564590382
23,01_01_a0101135010005200043z,0.5,0.3736742543512421,47.0,26.0,1.7358977793166177,0.7713846288708353
24,01_01_a0101135010005200054z,0.8333333333333334,0.3821302674697683,35.0,21.0,1.001224581560126,0.7079443608088559
